Key,Values
28,"[22, 528, 1055, 1498, 1624, 1627, 1628, 1663, 2271, 2535, 12183, 12498, 13148, 21853, 21872, 34905, 35590, 42885, 42894, 51914, 51997, 53792, 53793, 54546, 54657, 58996, 61803, 69536, 70023, 70076, 71175, 89025, 89026, 89184, 89558, 90510, 90887, 90909, 90910, 90913, 98112, 98114, 121950, 145352, 157741, 157762, 177927, 178297, 181763, 182899, 183338, 191656, 191661, 191808, 201504, 205571, 205597, 209290, 226573, 226752, 233244, 238053, 244219, 251332]"
29,"[23, 1189, 1372, 1472, 3159, 4535, 5428, 5809, 47708]"
30,"[24, 8867, 13586, 14436, 91988, 96231, 113892, 216129, 225044]"
31,"[25, 4833, 19835, 51447, 57664, 58726]"
32,"[26, 2351, 4175, 4265, 4303, 4958, 6992, 7539, 10667, 13429, 14761, 16561, 19137, 23814, 27338, 46888, 48149, 51196, 55254, 58974, 58987, 59201, 59345, 61773, 71624, 96152, 96367, 121481, 122249, 131179, 141099, 142846, 159172, 164424, 164562, 167841, 180846, 185085, 193004, 200034, 208185, 211304, 219129, 230735, 237333, 249424, 258526, 258894]"
33,"[27, 35480, 73476, 84915, 104237, 152631, 163065, 231920, 242427]"
34,"[28, 57, 5348, 5787, 5936, 6632, 10395, 26772, 106125, 154775, 204180]"
35,"[29, 1891, 2275, 4942, 48044, 71767]"
36,"[30, 4371, 5061, 5338, 7353, 9749, 38416, 44848, 45384, 66616, 127505]"
37,"[31, 5789, 6073, 10619, 15463, 20903, 29951, 31808, 32499, 35764, 37096, 41505, 45124, 45299, 49940, 50438, 51482, 53167, 54597, 55039, 62310, 69304, 70727, 71860, 74414, 75639, 76718, 78740, 79060, 79865, 85946, 89113, 94099, 94196, 96214, 103443, 104371, 106871, 106926, 109245, 110687, 111551, 112241, 112748, 114757, 115051, 117769, 123443, 125053, 129174, 129392, 130166, 130655, 134882, 140753, 141361, 141961, 145255, 145821, 150821, 150926, 156174, 163517, 165274, 165398, 166076, 167464, 170566, 171687, 172449, 172547, 173313, 174949, 177088, 177700, 179726, 185294, 186022, 188282, 196238, 197251, 201061, 202931, 206850, 207122, 207989, 209190, 209671, 210678, 211128, 216171, 216980, 221107, 222264, 222475, 223010, 223779, 223831, 226985, 227283, 230077, 231843, 232336, 236193, 236296, 236362, 236628, 236952, 237152, 238101, 242269, 242586, 244472, 244575, 250242, 251134, 251584, 252425, 252605, 253818, 257823, 261676]"
38,"[31, 13760, 31827, 37783, 48970, 84001, 89094, 93818, 100814, 142264, 160049, 161199, 182278, 195642, 205150, 210258, 220298, 223380, 237012, 239547, 259849]"
39,"[32, 5043, 5148, 5149, 5199, 5200, 5204, 5212, 5231, 5317, 5392, 5923, 6138, 6144, 7021, 7120, 7737, 9253, 10542, 10732, 15399, 17183, 23695, 25366, 46963, 224020, 224027, 247139]"
40,"[33, 171, 78831, 79063, 79117, 104813, 104835]"
41,"[34, 1180, 19049, 33349, 34726, 37020, 37612, 47577, 55320, 90700, 128238, 133904, 141190, 155601, 155617, 155624, 157898, 165592, 167971, 168374, 172260, 172515, 178607, 184070, 188021, 191446, 195915, 212956, 217970, 218269, 220422, 221845, 226340, 230335, 233174, 235394, 238498, 240280, 240723, 244014, 244606, 245201, 247888, 247922, 248175, 248204, 248375, 248551, 249430, 250832, 251165, 251271, 251600, 251707, 252380, 253938, 255312, 259225, 260806, 261401]"
42,"[35, 5080, 5477, 6772, 10193, 13837, 17900, 18061, 27849, 27912, 28002, 28003, 28010, 28015, 28024, 28071, 28076, 28160, 28164, 28213, 28257, 28393, 28484, 28602, 28661, 28744, 29024, 29355, 29596, 29656, 29706, 29785, 29808, 29819, 30121, 30126, 30129, 30150, 30204, 30288, 30349, 31094, 31400, 31810, 32032, 33608, 34779, 40658, 40820, 43045, 43675, 43900, 44004, 47102, 52048, 53147, 56989, 57290, 57768, 58784, 64676, 65154, 66479, 74372, 74776, 75842, 76060, 76136, 78141, 87914, 94309, 94541, 98767, 120451, 120526, 128649, 130157, 132414, 132618, 133933, 152751, 152760, 153017, 154030, 156244, 162156, 169009, 177098, 185640, 186515, 186903, 188150, 196457, 222841, 237942, 240622, 240965, 240969, 240990, 241189, 242165, 245843, 253762, 255862, 256754, 259091]"
43,"[36, 67425, 77174, 79899, 101621, 161367, 169623, 185767]"
44,"[37, 108197, 144408, 166035, 200426, 238795]"
45,"[38, 39745, 85888, 94577, 108065, 151963, 252331, 257029, 258575, 261802]"
46,[39]
47,[39]
48,"[40, 48, 593, 250812, 250826, 251048]"
49,"[41, 40633, 153883, 161428, 162689, 207611]"
50,"[42, 45536, 60297, 88450, 101509, 111578]"
51,"[43, 252, 2088, 4299, 8293, 10753, 17097, 17448, 19227, 28994, 29362, 29422, 30186, 30692]"
52,"[44, 543, 956, 1566, 2138, 2655, 2908, 3002, 3246, 4116, 5319, 5565, 6832, 7287, 9193, 10402, 10455, 10597, 11409, 13853, 22454, 201006, 210170, 218912, 223115]"
53,"[47, 2450, 2452, 5436, 6157, 8085, 8983, 12911, 16539, 19194, 29857, 31239, 31854, 33083, 44123, 79306, 94205, 101707, 135109, 151843, 170814, 171118, 171299, 177122, 223007, 226159, 233139, 235382, 236950]"
54,"[49, 731, 1061, 1520, 2174, 9559, 9912, 10455, 15757, 21481, 59424, 59474, 210170]"
55,"[50, 1166, 33243, 67465, 67786, 247353]"
56,"[51, 512, 1017, 11188, 18720, 22677, 28216, 32901, 38726, 72379, 88137, 93707, 94181, 98494, 105116, 105633, 121506, 140400, 149750, 155704, 165604, 176054, 191104, 195427, 205631, 216692, 218485, 223319, 240028, 241944, 245567, 253950, 256206]"
57,"[52, 1332, 4144, 5138, 9026, 23890, 27546, 44769, 52575, 58991, 59649, 64934, 92900, 126704, 175421, 180271, 202183, 209228, 224677, 225474, 243297]"
58,"[53, 8674, 8850, 9259, 19242, 23656, 34938, 35349, 35454, 41471, 42837, 57809, 59031, 59191, 60450, 62730, 69405, 70156, 70551, 71152, 77688, 77772, 88460, 91859, 98525, 101462, 120537, 121316, 124813, 132810, 133466, 134838, 135269, 136262, 148891, 159055, 167413, 176128, 181249, 184266, 188003, 188140, 188182, 198333, 198767, 202345, 207472, 207524, 208493, 210320, 210476, 217418, 218079, 218695, 224114, 241906, 242205, 242829, 242835, 244420, 249723, 249799, 250561, 256722]"
59,"[53, 2308, 3437, 8674, 19242, 23626, 23656, 25305, 34930, 34938, 35349, 40095, 50499, 51085, 51096, 51147, 57806, 57809, 59031, 59551, 64354, 66740, 69876, 70143, 70551, 76496, 77772, 87678, 88882, 115353, 121110, 121316, 124802, 133011, 136547, 136807, 144455, 158912, 163623, 166253, 167404, 167488, 167643, 168223, 168346, 169913, 181249, 184252, 192325, 198333, 203337, 205884, 207472, 208864, 210732, 217599, 217972, 218327, 222488, 223416, 230885, 230910, 231466, 232326, 243463, 244420, 244602, 245167, 246605, 247928, 250561, 256734, 261311]"
60,"[54, 7448, 10260, 10262, 19839, 31357, 74119, 77485, 88053, 105761, 105764, 162029, 186364, 198196, 199061, 199774, 208798, 216564, 221918, 224349, 229320, 241282, 249097, 251375, 254160, 261674]"
61,"[55, 3816, 7837, 12701, 14975, 45934, 63900, 73735, 81399, 81604, 154489, 160085, 168564, 204825, 226008, 238534, 253464]"
62,"[56, 4509, 52277, 64733, 107796, 231936, 243305, 255864, 260335]"
63,"[58, 142, 1852, 2897, 3006, 3381, 3510, 3769, 5114, 6093, 8721, 8961, 9618, 32423, 35543, 35767, 35982, 36345, 37544, 39159, 40683, 50249, 72539, 79586, 171277, 171334, 173395]"
64,"[59, 1117, 5988, 8497, 10648, 28837, 47159, 93820, 139176]"
65,"[60, 1012, 1680, 12344, 23965, 33239, 34999, 59459, 60099, 79175, 81477, 101412, 108734, 135979, 144396, 147669, 148355, 190162, 190745, 201515, 201947, 202593, 208484]"
66,"[61, 4124, 5261, 7413, 9099, 9523, 10601, 15232, 21110, 22412, 24232, 25835, 30052, 32514, 34952, 36670, 41505, 41974, 42486, 51482, 55602, 56553, 66668, 74365, 75439, 87659, 89113, 89948, 105380, 106483, 107106, 108050, 109135, 110343, 115379, 121853, 122210, 130199, 134027, 137531, 140546, 145472, 148697, 158276, 162267, 169011, 175519, 179918, 179940, 180048, 180938, 181111, 187218, 188587, 196515, 207079, 207366, 207589, 208875, 216449, 216605, 219424, 221016, 222372, 223713, 224214, 226233, 231584, 235281, 235891, 236791, 241004, 241278, 242881, 244630, 248421, 252425]"
67,"[62, 485, 2361, 16069, 28389, 32961, 34794, 65360, 78430, 80989, 106922, 134339, 144981, 173833, 175261, 178495, 182929, 183422, 186600, 190781, 205757, 210028, 215649, 223501]"
68,"[63, 69, 356, 1508, 1960, 2207, 3625, 93189, 99765]"
69,"[64, 52584, 77704, 89080, 96282, 136465, 172495, 213747, 216633, 227464, 239097]"
70,"[65, 3747, 7854, 25945, 30999, 31576, 36136, 36676, 57683, 71578, 74142, 113899, 125848, 149901, 159246, 172916, 177426, 180353, 218487, 219462, 233664, 241722, 244411]"
71,"[66, 60110, 117000, 117229, 120303, 132829, 144974, 205713]"
72,"[67, 94, 287, 1455, 58751, 65036, 65691, 67986, 151708, 153483, 156581, 157584, 162020, 164840, 173354, 174530, 186756, 198042, 200375, 200381, 213651, 216104, 224881, 228762, 229894, 232310, 242466, 255378, 261032]"
73,"[68, 66896, 206016, 206230, 221961, 239880]"
74,"[70, 5684, 41132, 41391, 102198, 110942, 163455]"
75,"[71, 726, 775, 808, 1188, 9122, 91043, 143967, 151589, 151740, 152064, 152516, 152816, 163248, 164366, 164867, 186657, 233034, 250112, 255856]"
76,"[72, 13831, 67698, 170627, 185760, 186060, 189080, 207271]"
77,"[73, 89, 11874]"
78,"[75, 76627, 83902, 104147, 111443, 131124, 131915, 133056, 142125, 144544, 145057, 146802, 150751, 151588, 152026, 152314, 152447, 152617, 152706, 153710, 154190, 171466, 199659, 216398, 255244, 257901, 260068, 260186, 260551, 260740, 260862, 260898, 261012, 261048, 261156, 261325, 261419, 261612]"
79,"[76, 11808, 18787, 22326, 22666, 24694, 24752, 27198, 38511, 42815, 106671, 132207]"
80,"[77, 8545, 8634, 12744, 91807, 91856, 92150, 92467, 95585, 108941, 146566, 151687, 155385, 164111, 164115, 165883, 170003, 237329, 256168]"
81,"[78, 26617, 98520, 169501, 173817, 181371, 193322]"
82,"[79, 13489, 70716, 238834, 245862, 249625]"
83,"[80, 106817, 107203, 111365, 111716, 111956, 112092, 113099, 119455]"
